DATAFLOW,LAST UPDATE,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,BE,2012,5.3,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,BE,2013,6.3,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,BE,2014,6.3,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,BE,2015,5.4,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,BE,2016,4.7,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,BE,2017,4.6,b
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,BE,2018,4.2,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,BE,2019,3.6,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,BE,2020,4.0,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,BG,2000,8.6,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,BG,2001,11.5,b
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,BG,2002,9.3,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,BG,2003,6.5,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,BG,2004,6.3,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,BG,2005,5.2,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,BG,2006,5.3,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,BG,2007,4.1,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,BG,2008,3.0,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,BG,2009,3.4,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,BG,2010,5.3,b
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,BG,2011,5.9,b
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,BG,2012,6.6,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,BG,2013,6.3,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,BG,2014,5.4,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,BG,2015,4.7,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,BG,2016,3.3,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,BG,2017,2.7,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,BG,2018,2.3,
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,BG,2019,1.7,u
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,BG,2020,2.5,u
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CH,2010,5.8,b
ESTAT:UNE_RT_A_H(1.0),24/04/24 23:00:00,A,Y15-24,PC_POP,F,CH,2011,5.4,
