DATAFLOW,LAST UPDATE,freq,na_item,ppp_cat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR,A01,AL,1997,1994,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR,A01,AL,1998,2250,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR,A01,AL,1999,2757,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR,A01,AL,2000,3306,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR,A01,AL,2001,3640,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR,A01,AL,2002,3906,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR,A01,AL,2003,4184,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR,A01,AL,2004,4726,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR,A01,AL,2005,5285,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR,A01,AL,2006,5834,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR,A01,AL,2007,6757,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR,A01,AL,2008,7739,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR,A01,AL,2009,7456,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR,A01,AL,2010,7508,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR,A01,AL,2011,7745,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR,A01,AL,2012,7981,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR,A01,AL,2013,8233,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR,A01,AL,2014,8625,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR,A01,AL,2015,8834,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR,A01,AL,2016,9241,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR,A01,AL,2017,9815,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR,A01,AL,2018,10808,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR,A01,AL,2019,11719,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR,A01,AL,2020,11468,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR,A01,AL,2021,12473,
ESTAT:PRC_PPP_IND(1.0),26/03/24 11:00:00,A,EXP_EUR,A01,AL,2022,14494,
